 FORECAST DATE (15050318) --15km
 66    12.150   123.936   990.873
 72    12.269   122.664   991.744
 78    12.579   121.695   988.258
 84    12.901   120.476   982.426
 90    13.313   119.571   977.380
 96    13.515   118.764   973.353
102    13.962   118.095   971.654
108    14.367   117.469   959.791
114    14.659   117.018   952.827
120    15.093   116.642   946.680
 FORECAST DATE (15050700) --15km
 TYPHOON - NOUL           PS
  0    10.152   134.246   968.856
  6    10.760   133.427   977.746
 12    10.872   132.458   984.459
 18    11.067   131.567   985.475
 24    11.218   130.817   985.392
 30    11.762   129.661   983.959
 36    12.198   128.843   989.957
 42    12.663   127.719   986.079
 48    12.687   126.687   988.381
 54    13.106   125.699   987.772
 60    13.095   124.487   986.836
 66    13.295   123.642   986.784
 72    13.769   122.630   989.585
 78    13.932   121.399   985.112
 84    14.225   120.200   985.978
 90    14.495   119.572   983.227
 96    14.874   118.998   984.029
102    15.487   118.327   973.599
108    16.247   117.995   969.081
114    16.797   117.731   961.153
120    17.178   117.741   961.192
 FORECAST DATE (15050706) --15km
 TYPHOON - NOUL           PS
  0    10.928   133.010   967.350
  6    11.029   132.320   977.182
 12    11.058   131.462   980.519
 18    11.357   130.603   982.788
 24    11.972   129.647   982.964
 30    12.315   128.614   985.369
 36    12.912   127.705   985.818
 42    13.288   126.568   989.155
 48    13.487   125.541   984.513
 54    13.553   124.428   986.294
 60    13.704   123.464   983.640
 66    14.189   122.521   985.641
 72    14.544   121.339   984.831
 78    14.830   120.552   985.281
 84    15.389   119.862   982.657
 90    16.079   119.328   985.621
 96    16.887   119.096   981.908
102    17.805   118.945   985.315
108    18.526   119.206   981.232
114    19.363   119.536   982.404
120    19.890   120.033   979.570
 FORECAST DATE (15050712) --15km
 TYPHOON - NOUL           PS
  0    11.184   132.041   973.797
  6    11.317   131.547   976.576
 12    11.762   130.736   981.094
 18    12.137   129.814   980.318
 24    12.950   129.028   985.164
 30    13.520   127.756   980.865
 36    13.791   126.803   983.540
 42    14.376   125.660   974.938
 48    14.606   124.991   975.377
 54    14.992   123.992   971.628
 60    15.436   123.291   972.732
 66    16.022   122.666   967.707
 72    16.904   121.921   977.209
 78    17.648   120.820   990.693
 84    18.163   120.429   989.820
 90    19.085   120.167   982.204
 96    19.687   120.630   985.258
102    20.751   120.999   985.386
108    21.763   122.059   984.930
114    22.443   123.106   988.690
120    23.448   124.928   992.168
 FORECAST DATE (15050718) --15km
 TYPHOON - NOUL           PS
  0    11.796   131.375   972.727
  6    12.206   130.269   978.089
 12    12.556   129.143   976.957
 18    12.933   128.092   979.693
 24    13.181   127.025   981.391
 30    13.443   126.021   981.566
 36    13.775   125.051   980.590
 42    14.037   124.444   979.651
 48    14.514   123.562   969.594
 54    15.019   122.847   967.424
 60    15.706   122.046   963.229
 66    16.344   121.162   991.522
 72    17.992   120.710   997.465
 78    18.242   119.364   999.155
 84    18.802   119.273   993.834
 90    19.600   119.810   990.138
 96    20.648   120.281   991.821
102    21.756   121.539   994.464
108    22.123   122.768   993.727
114    22.752   123.875   998.354
120    23.964   125.294   996.671
 FORECAST DATE (15050800) --15km
 TYPHOON - NOUL           PS
  0    12.129   129.943   968.357
  6    12.607   129.151   971.424
 12    13.151   128.170   980.243
 18    13.720   126.985   983.342
 24    14.169   125.811   988.433
 30    14.724   124.532   986.600
 36    14.614   124.031   986.427
 42    14.869   122.964   986.865
 48    15.269   122.151   982.383
 54    15.812   121.240   988.740
 60    17.030   119.700   998.162
 66    17.183   119.614   999.378
 72    17.755   118.641  1001.540
 78    18.570   119.184   998.820
 84    19.528   120.688   997.976
 90    20.903   119.730   992.363
 96    22.094   121.398   996.130
102    22.241   121.834   993.023
108    22.672   123.387   995.261
114    23.360   124.070   996.912
120    24.059   124.924  1001.980
 FORECAST DATE (15050806) --15km
 TYPHOON - NOUL           PS
  0    12.616   129.040   963.306
  6    12.902   128.076   971.113
 12    13.231   127.119   978.692
 18    13.943   125.899   984.370
 24    14.336   124.885   982.870
 30    14.699   123.872   983.847
 36    14.816   122.907   984.459
 42    15.223   122.032   984.232
 48    15.978   120.977   994.393
 54    16.688   120.032  1000.569
 60    17.449   119.239   997.786
 66    18.119   119.799   998.175
 72    19.553   119.258   992.211
 78    20.293   120.402   992.163
 84    21.429   120.997   981.069
 90    22.534   122.849   985.415
 96    23.717   125.096   984.727
102    25.418   128.538   998.501
108    25.950   131.836  1001.009
114    27.066   134.116  1008.223
120  -999.000  -999.000  -999.000  -999.000  -999.000
 FORECAST DATE (15050812) --15km
 TYPHOON - NOUL           PS
  0    12.986   127.927   960.060
  6    13.412   127.066   970.248
 12    14.039   126.132   976.798
 18    14.430   125.143   975.574
 24    14.712   124.350   976.885
 30    15.068   123.533   975.413
 36    15.410   122.930   977.433
 42    16.119   122.116   974.900
 48    17.095   121.342   995.400
 54    18.147   120.021   997.642
 60    18.945   119.475   997.569
 66    19.678   119.551   990.732
 72    20.335   119.745   995.672
 78    21.058   120.552   995.411
 84    22.453   122.259   991.836
 90    23.202   123.553   991.159
 96    23.505   125.335   996.171
102    24.084   126.665   997.931
108    25.304   128.394  1002.009
120  -999.000  -999.000  -999.000  -999.000  -999.000
120  -999.000  -999.000  -999.000  -999.000  -999.000
 FORECAST DATE (15050818) --15km
 TYPHOON - NOUL           PS
  0    13.801   126.975   968.254
  6    14.134   125.915   973.197
 12    14.469   125.061   971.818
 18    14.870   124.448   968.407
 24    15.019   123.765   973.030
 30    15.543   122.934   975.703
 36    16.060   121.966   985.035
 42    17.492   120.683   999.916
 48    17.909   119.867  1000.088
 54    18.850   119.352  1000.019
 60    19.908   119.467   993.789
 66    20.785   119.916   990.679
 72    21.752   121.398   991.296
 78    22.904   122.625   994.276
 84    23.690   124.189   993.030
 90    24.122   125.682   993.239
 96    24.545   127.096   995.472
102    25.170   128.394  1003.825
108  -999.000  -999.000  -999.000  -999.000  -999.000
114  -999.000  -999.000  -999.000  -999.000  -999.000
120  -999.000  -999.000  -999.000  -999.000  -999.000
 FORECAST DATE (15050900) --15km
 TYPHOON - NOUL           PS
  0    14.188   126.120   970.198
  6    14.838   125.133   976.675
 12    15.274   124.380   978.809
 18    15.696   123.642   974.877
 24    16.118   122.991   978.533
 30    16.645   122.326   982.357
 36    17.597   121.417   990.632
 42    18.179   120.510   992.352
 48    18.841   120.702   989.460
 54    19.795   120.750   982.602
 60    20.799   121.114   990.577
 66    21.918   122.273   992.299
 72    22.720   123.229   996.337
 78    23.748   124.898   994.622
 84    24.213   126.237   999.023
 90    25.051   127.663  1000.297
 96    26.301   130.739   999.598
102    26.211   133.429  1001.957
108    27.337   134.434  1009.326
114  -999.000  -999.000  -999.000  -999.000  -999.000
120  -999.000  -999.000  -999.000  -999.000  -999.000
 FORECAST DATE (15050906) --15km
 TYPHOON - NOUL           PS
  0    14.930   125.331   968.662
  6    15.554   124.636   976.666
 12    16.103   124.205   967.611
 18    16.788   123.702   967.857
 24    17.585   123.214   972.387
 30    18.348   122.727   976.143
 36    19.159   122.499   973.625
 42    20.326   122.408   981.097
 48    21.293   122.776   977.978
 54    22.933   123.876   980.714
 60    24.536   125.395   982.096
 66    26.603   127.548   988.558
 72    29.055   131.214   988.286
 78    32.235   135.577   990.213
 84    36.399   140.019   987.836
102  -999.000  -999.000  -999.000  -999.000  -999.000
102  -999.000  -999.000  -999.000  -999.000  -999.000
102  -999.000  -999.000  -999.000  -999.000  -999.000
108  -999.000  -999.000  -999.000  -999.000  -999.000
114  -999.000  -999.000  -999.000  -999.000  -999.000
120  -999.000  -999.000  -999.000  -999.000  -999.000
best
        9.3     140.7       15050318
        9.5     140.1       15050400
        9.5     139.9       15050406
        9.6     139.6       15050412
        9.6     139.5       15050418
        9.5     138.9       15050500
        9.6     138.8       15050506
        9.6     138.7       15050512
        9.5     138.4       15050518
        9.3     137.6       15050600
        9.5     136.8       15050606
        9.9     136.0       15050612
       10.1     135.2       15050618
       10.5     134.3       15050700
       11.3     133.1       15050706
       11.6     132.1       15050712
       11.8     131.1       15050718
       12.0     130.2       15050800
       12.5     129.2       15050806
       13.4     128.0       15050812 
       13.9     127.2       15050818 
       14.3     126.4       15050900 
       14.9     125.2       15050906 
       15.4     124.6       15050912 
       16.1     123.9       15050918 
       17.0     123.3       15051000 
       17.9     122.6       15051006 
       18.6     122.4       15051012 
       19.6     122.1       15051018 
       20.7     122.1       15051100 
       22.0     122.7       15051106
       23.3     123.9       15051112
       25.9     125.8       15051118
       99.9
