 FORECAST DATE (15050318) --15km
 96    12.612   124.909   984.661
102    12.411   123.580   983.855
108    12.677   122.572   982.625
114    12.678   121.548   977.896
120    13.094   120.374   969.345
 FORECAST DATE (15050512) --15km
 TYPHOON - NOUL           PS
  0     8.995   138.423   994.766
  6     9.053   138.154   993.997
 12     9.128   137.688   995.146
 18     9.146   137.349   989.863
 24     9.652   136.695   989.812
 30    10.114   135.875   986.169
 36    10.420   135.279   984.805
 42    10.785   134.510   984.071
 48    11.195   133.452   984.398
 54    11.428   132.566   981.525
 60    11.692   131.201   981.902
 66    11.881   130.276   979.235
 72    11.929   128.957   987.283
 78    12.048   127.896   984.264
 84    12.480   126.912   990.895
 90    12.445   125.527   987.821
 96    12.623   124.448   989.095
102    12.678   123.513   988.630
108    12.758   122.353   988.822
114    12.865   121.420   985.347
120    13.228   120.644   978.803
 FORECAST DATE (15050518) --15km
 TYPHOON - NOUL           PS
  0    10.413   139.289   990.640
  6    10.048   137.284   989.218
 12     9.871   136.678   981.688
 18    10.055   135.994   986.250
 24    10.367   135.257   982.389
 30    10.724   134.477   986.294
 36    11.291   133.504   985.973
 42    11.453   132.644   986.580
 48    11.380   131.582   978.472
 54    11.640   130.597   981.525
 60    11.957   129.415   978.811
 66    12.043   128.370   983.224
 72    12.354   127.219   977.288
 78    12.720   126.137   982.584
 84    12.828   124.858   976.841
 90    12.750   123.969   975.224
 96    12.724   122.918   972.550
102    12.908   121.881   969.671
108    12.838   120.878   970.800
114    13.546   120.497   972.126
120    14.052   119.782   967.433
 FORECAST DATE (15050600) --15km
 TYPHOON - NOUL           PS
  0     8.163   137.729   997.088
  6     9.377   137.116   995.881
 12    10.056   136.006   992.628
 18    10.078   134.869   982.265
 24    10.274   134.231   984.775
 30    10.530   133.365   985.509
 36    10.794   132.768   990.043
 42    11.147   131.992   988.453
 48    11.388   131.223   988.016
 54    11.632   130.084   986.834
 60    11.582   128.626   985.651
 66    12.160   128.073   989.445
 72    12.412   126.956   991.120
 78    12.700   125.593   985.904
 84    12.520   124.515   987.586
 90    12.732   123.361   986.807
 96    12.925   122.170   985.673
102    13.093   121.313   979.942
108    13.398   120.462   971.451
114    13.943   119.822   961.700
120    14.362   119.179   961.383
 FORECAST DATE (15050606) --15km
 TYPHOON - NOUL           PS
  0     9.582   137.086   987.326
  6     9.495   136.000   982.113
 12     9.918   135.165   979.127
 18     9.980   134.091   978.577
 24    10.285   132.850   982.604
 30    10.508   132.378   987.044
 36    10.593   131.310   979.871
 42    10.843   130.522   981.899
 48    10.939   129.376   980.451
 54    11.303   128.425   985.335
 60    11.475   127.353   977.245
 66    11.767   126.523   979.625
 72    12.210   125.301   976.708
 78    12.151   124.186   980.494
 84    12.240   123.199   975.125
 90    12.498   122.154   971.234
 96    12.933   120.951   960.991
102    13.421   120.164   961.421
108    13.874   119.474   950.806
114    14.376   118.779   951.747
120    14.882   118.384   950.271
 FORECAST DATE (15050612) --15km
 TYPHOON - NOUL           PS
  0     9.672   135.988   981.158
  6    10.068   135.241   976.892
 12    10.350   133.987   975.042
 18    10.539   133.206   981.009
 24    10.666   132.343   985.602
 30    10.726   131.427   984.793
 36    10.987   130.463   984.255
 42    11.181   129.422   980.455
 48    11.494   128.293   984.520
 54    11.538   127.186   979.592
 60    11.854   126.258   979.321
 66    12.041   125.123   980.404
 72    12.251   124.057   987.915
 78    12.169   122.918   980.510
 84    12.348   122.028   985.475
 90    12.563   120.689   981.384
 96    12.710   120.027   976.260
102    13.125   119.437   965.663
108    13.748   118.641   958.753
114    14.135   118.059   947.944
120    14.616   117.622   950.888
 FORECAST DATE (15050618) --15km
 TYPHOON - NOUL           PS
  0    10.048   135.034   974.570
  6    10.040   134.332   977.241
 12    10.238   133.503   979.433
 18    10.299   132.461   984.570
 24    10.289   131.736   982.820
 30    10.499   130.933   982.569
 36    10.868   129.996   983.231
 42    11.113   128.996   982.569
 48    11.239   127.822   981.313
 54    11.230   126.850   981.017
 60    11.855   125.689   981.096
 66    11.619   124.611   982.109
 72    11.827   123.510   985.141
 78    12.126   122.382   984.577
 84    12.209   121.218   980.308
 90    12.527   120.570   983.001
 96    12.669   119.629   973.363
102    13.092   119.227   966.013
108    13.770   118.674   954.359
114    14.296   118.282   954.327
120    14.870   117.774   946.346
 FORECAST DATE (15050700) --15km
 TYPHOON - NOUL           PS
  0    10.171   134.237   979.503
  6    11.028   133.056   979.941
 12    10.824   132.022   980.594
 18    10.977   131.172   978.512
 24    11.478   130.624   986.150
 30    11.861   129.586   981.398
 36    12.269   128.574   988.901
 42    12.950   127.646   987.414
 48    12.830   126.438   989.102
 54    13.386   125.643   988.028
 60    13.701   124.762   987.518
 66    13.784   123.293   985.691
 72    14.150   122.255   986.902
 78    14.515   121.016   982.382
 84    14.615   119.986   984.959
 90    15.038   119.555   985.555
 96    15.649   118.932   982.595
102    16.372   118.447   975.291
108    17.082   118.246   976.254
114    17.751   118.411   970.698
120    18.445   118.938   974.335
 FORECAST DATE (15050706) --15km
 TYPHOON - NOUL           PS
  0    11.084   133.178   976.196
  6    11.273   132.052   981.623
 12    11.201   131.238   976.471
 18    11.690   130.537   986.074
 24    12.126   129.728   985.370
 30    12.625   128.573   987.822
 36    12.768   127.716   988.384
 42    13.716   126.651   991.131
 48    13.772   125.547   981.529
 54    14.422   124.557   990.370
 60    14.555   123.389   988.049
 66    14.941   122.580   987.078
 72    15.463   121.583   987.197
 78    16.134   120.620   994.139
 84    16.783   120.054   993.846
 90    17.880   119.656   995.119
 96    18.399   119.148   988.838
102    19.541   119.948   988.086
108    20.229   120.276   978.911
114    20.898   120.742   988.381
120    21.408   121.742   987.648
 FORECAST DATE (15050712) --15km
 TYPHOON - NOUL           PS
  0    11.371   132.003   980.656
  6    11.850   131.305   976.607
 12    12.263   130.258   981.434
 18    12.640   129.211   977.821
 24    12.982   128.164   981.574
 30    13.172   126.895   980.401
 36    13.492   126.047   982.021
 42    13.727   125.099   978.019
 48    14.116   124.312   978.522
 54    14.306   123.385   975.957
 60    14.682   122.515   973.626
 66    15.244   121.688   969.502
 72    16.011   120.799   986.602
 78    17.241   120.261   994.927
 84    17.823   119.952   994.975
 90    18.956   119.755   985.178
 96    19.706   120.277   980.471
102    20.367   120.621   983.554
108    21.295   121.374   988.075
114    22.060   122.743   989.327
120    23.022   124.368   987.811
 FORECAST DATE (15050718) --15km
 TYPHOON - NOUL           PS
  0    11.826   131.294   979.881
  6    12.173   129.790   979.121
 12    12.441   129.205   975.480
 18    13.066   127.937   979.950
 24    13.638   126.834   984.147
 30    13.921   125.894   986.429
 36    14.431   124.674   985.276
 42    14.711   123.915   985.756
 48    14.797   123.021   983.772
 54    15.114   122.297   984.221
 60    15.602   121.430   986.794
 66    16.334   120.320   999.008
 72    17.281   119.677  1000.139
 78    18.234   119.120  1000.891
 84    18.858   118.688   998.319
 90    19.565   119.112   998.266
 96    20.171   120.457   991.981
102    20.936   121.327   987.604
108    21.578   122.249   989.633
114    21.946   123.166   994.596
120    22.518   124.131   995.002
 FORECAST DATE (15050800) --15km
 TYPHOON - NOUL           PS
  0    12.155   130.031   976.626
  6    12.837   129.092   975.940
 12    13.146   128.029   980.674
 18    13.564   126.924   982.280
 24    13.878   125.727   984.596
 30    14.464   124.536   985.170
 36    14.461   123.723   985.030
 42    14.749   123.231   985.539
 48    15.520   121.890   987.106
 54    16.065   120.396   997.208
 60    16.300   119.391  1000.599
 66    16.829   119.084  1000.007
 72    17.829   119.514   999.925
 78    18.965   119.515   997.007
 84    19.698   119.185  1000.693
 90    19.786   121.180   998.459
 96    21.603   121.475   999.042
102    21.896   122.009   994.466
108    22.694   123.059   998.922
114    22.949   123.810   999.609
120    23.755   124.888  1003.665
 FORECAST DATE (15050806) --15km
 TYPHOON - NOUL           PS
  0    12.757   129.036   968.039
  6    12.984   127.956   971.208
 12    13.403   126.982   976.011
 18    13.773   125.801   980.395
 24    14.147   124.971   978.223
 30    14.520   124.017   974.688
 36    14.712   123.229   981.354
 42    15.016   122.354   980.744
 48    15.722   121.563   985.605
 54    17.458   120.811   997.250
 60    17.304   119.017   999.388
 66    17.354   119.702  1001.838
 72    18.500   120.169   998.802
 78    20.389   119.941   996.486
 84    21.084   120.863   990.776
 90    22.214   122.530   984.376
 96    23.462   124.115   987.522
102    23.795   126.377   993.729
108    24.819   129.270   984.818
114    26.433   131.387  1004.521
120  -999.000  -999.000  -999.000  -999.000  -999.000
 FORECAST DATE (15050812) --15km
 TYPHOON - NOUL           PS
  0    13.069   127.997   966.814
  6    13.902   127.203   976.651
 12    14.401   125.921   977.358
 18    14.698   124.912   973.219
 24    14.872   124.201   968.890
 30    15.248   123.572   969.780
 36    15.704   122.979   972.632
 42    16.223   122.144   978.320
 48    17.141   121.547   992.637
 54    18.103   120.382   998.388
 60    18.715   119.901   996.266
 66    19.791   119.975   985.475
 72    20.866   120.628   993.488
 78    21.393   121.424   994.316
 84    23.033   123.179   987.797
 90    24.117   124.462   996.229
 96    24.164   125.808  1003.435
102    26.397   129.354  1001.944
108    26.262   131.862  1003.761
120  -999.000  -999.000  -999.000  -999.000  -999.000
120  -999.000  -999.000  -999.000  -999.000  -999.000
 FORECAST DATE (15050818) --15km
 TYPHOON - NOUL           PS
  0    13.875   127.146   970.369
  6    14.095   126.123   972.095
 12    14.861   125.295   974.674
 18    15.331   124.464   980.485
 24    15.828   123.623   982.309
 30    16.467   122.725   982.490
 36    17.330   122.260   992.349
 42    18.144   120.715   999.028
 48    18.796   120.453   993.270
 54    19.778   120.865   986.304
 60    20.847   121.116   974.801
 66    21.756   121.653   986.055
 72    23.413   123.241   979.901
 78    24.933   125.108   987.898
 84    25.916   127.384   995.255
 90    28.038   131.451  1000.821
 96    29.734   135.344   998.690
102    31.523   139.529  1001.915
108  -999.000  -999.000  -999.000  -999.000  -999.000
114  -999.000  -999.000  -999.000  -999.000  -999.000
120  -999.000  -999.000  -999.000  -999.000  -999.000
 FORECAST DATE (15050900) --15km
 TYPHOON - NOUL           PS
  0    14.148   126.173   970.364
  6    15.038   125.246   971.921
 12    15.320   124.495   974.989
 18    15.663   124.030   966.039
 24    16.049   123.403   974.959
 30    16.783   122.865   974.507
 36    17.467   122.293   978.860
 42    18.020   121.195   990.847
 48    18.717   120.885   991.071
 54    19.303   120.804   981.673
 60    20.150   120.953   991.726
 66    21.024   121.621   991.928
 72    22.136   122.727   994.332
 78    22.678   123.749   995.929
 84    23.572   125.133  1000.691
 90    24.854   126.748   998.228
 96    25.350   128.172  1000.620
102    25.930   129.298   999.164
108    27.818   131.840  1003.399
114  -999.000  -999.000  -999.000  -999.000  -999.000
120  -999.000  -999.000  -999.000  -999.000  -999.000
 FORECAST DATE (15050906) --15km
 TYPHOON - NOUL           PS
  0    14.972   125.214   965.478
  6    15.475   124.492   972.081
 12    15.834   123.760   972.731
 18    16.409   123.473   976.050
 24    17.281   122.828   977.520
 30    17.944   122.295   986.602
 36    18.519   121.509   989.141
 42    19.189   121.687   985.677
 48    20.019   121.785   986.841
 54    21.189   122.525   986.660
 60    22.680   123.384   993.538
 66    23.989   125.363   995.732
 72    25.204   127.280   996.818
 78    27.242   130.514  1000.998
 84    29.202   134.506   993.544
102  -999.000  -999.000  -999.000  -999.000  -999.000
102  -999.000  -999.000  -999.000  -999.000  -999.000
102  -999.000  -999.000  -999.000  -999.000  -999.000
108  -999.000  -999.000  -999.000  -999.000  -999.000
114  -999.000  -999.000  -999.000  -999.000  -999.000
120  -999.000  -999.000  -999.000  -999.000  -999.000
best
        9.3     140.7       15050318
        9.5     140.1       15050400
        9.5     139.9       15050406
        9.6     139.6       15050412
        9.6     139.5       15050418
        9.5     138.9       15050500
        9.6     138.8       15050506
        9.6     138.7       15050512
        9.5     138.4       15050518
        9.3     137.6       15050600
        9.5     136.8       15050606
        9.9     136.0       15050612
       10.1     135.2       15050618
       10.5     134.3       15050700
       11.3     133.1       15050706
       11.6     132.1       15050712
       11.8     131.1       15050718
       12.0     130.2       15050800
       12.5     129.2       15050806
       13.4     128.0       15050812 
       13.9     127.2       15050818 
       14.3     126.4       15050900 
       14.9     125.2       15050906 
       15.4     124.6       15050912 
       16.1     123.9       15050918 
       17.0     123.3       15051000 
       17.9     122.6       15051006 
       18.6     122.4       15051012 
       19.6     122.1       15051018 
       20.7     122.1       15051100 
       22.0     122.7       15051106
       23.3     123.9       15051112
       25.9     125.8       15051118
       99.9
